,name,artist
0,Wonder,Shawn Mendes
1,Bet You Wanna (feat. Cardi B),BLACKPINK
2,Runnin,21 Savage
3,Don’t Stop (feat. Young Thug),Megan Thee Stallion
4,Outta Time (feat. Drake),Bryson Tiller
5,Not Another Love Song,Ella Mai
6,Lie Like This,Julia Michaels
7,Fallin',Why Don't We
8,heart won't let me,LANY
9,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685
10,Jeanie (feat. Bon Iver),Jim-E Stack
11,Stuck On You,Giveon
12,Come Over,Jorja Smith
13,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money
14,I'm Not Mad,Halsey
15,Still Have Me,Demi Lovato
16,Levitating (feat. DaBaby),Dua Lipa
17,POV (feat. Rubi Rose),Wiz Khalifa
18,Blood Walk,YG
19,La Luz,Kali Uchis
20,say it over (feat. Cautious Clay),Ruel
21,Mr. Right Now (feat. Drake),21 Savage
22,Lovesick Girls,BLACKPINK
23,Better Than We Found It,Maren Morris
24,body bag (feat. YUNGBLUD & Bert McCracken of The Used),Machine Gun Kelly
25,Big A$AP (feat. Monica),A$AP Ferg
26,Demons and Monsters,347aidan
27,Lifetime,Romy
28,Gun Smoke,Stunna 4 Vegas
29,Bop It (feat. Polo G),Fivio Foreign
30,Got The Love,Terrell Morris
31,Outside,Oliver Malcolm
32,Something You Like,"merci, mercy"
33,Salt Licorice (with Robyn) - Radio Edit,Jónsi
34,How Was Your Day?,beabadoobee
35,Lie To Me,Queen Naija
36,Oops (I'm Sorry) (feat. Ty Dolla $ign & GASHI),Lost Kings
37,Roller Rink,dempsey hope
38,Virtual Aerobics,Wallows
39,oops!,Yung Gravy
40,october's lullaby (feat. glaive),Savage Ga$p
41,Chocolate Pomegranate,Ari Lennox
42,Muñeca,Gabriel Garzón-Montano
43,DIE 4 YOU,Creams
44,Leave Virginia Alone,Tom Petty
45,HIGHER,Bishop Briggs
46,Think I'm Crazy,Two Feet
47,"1,000,000 X Better",Griff
48,Pretty,Col3trane
49,PNE,Master Peace
50,wallflower,mxmtoon
51,All Love Everything,Aloe Blacc
52,The Change,JoJo
53,Man Down,YFN Lucci
54,Dos Uno Nueve (219),Omar Apollo
55,MoneyOnMyMind,UPSAHL
56,Somersault,Lourdiz
57,Yessirski,Doe Boy
58,Red Lights,Haiti Babii
59,Two Ways,Trey Songz
60,Don't Go,Isabela Merced
61,Haunt You (feat. chloe moriondo),X Lovers
62,Rockstar,Mallrat
63,i'm glad that you found someone,sad alex
64,Free As We Wanna Be,Dawes
65,Dream On Me,Ella Henderson
66,Space,Becky Hill
67,Californian Soil,London Grammar
68,Twinkle,Hether
69,Rich Girl,Soulex
70,Sofia,Tiny Meat Gang
71,Moment,Dagny
72,Cuss A Little,Kylie Morgan
73,Amantes y Amigos,Arcangel
74,Self Love,Savannah Cristina
75,Stained Glass (feat. Westside Gunn),The Alchemist
76,Boatloads feat. Jack Harlow,Smoke DZA
77,Training Day,Dougie F
78,Cry When I'm Gone,Dee Watkins
79,The Pink Phantom (feat. Elton John and 6LACK),Gorillaz
80,Diet,Shamir
81,Wonder (feat. Still Woozy and MTMBO),Billy Lemos
82,Soapbox,Brent Cobb
83,Officer of Love,Caamp
84,Amen,Tom Grennan
85,Someone Special,Anna of the North
86,"Must Stop (feat. Sarah Barthel, Phantogram)",ONR
87,tiny life,EVAN GIIA
88,You Only Die Once,Kelsy Karter
89,MEN,deryk
90,Kissez,Sevyn Streeter
91,Composure,Lud Foe
92,CLUB E11EVEN (feat. Guapdad 4000),ALLBLACK
93,I'd Rather Die Than Let You In,The Hunna
94,Halfway Down,Corey Taylor
95,Beautiful Drug,Bon Jovi
96,Baby,Brandon
97,Wild Child (Feat. Lil Baby),Noodah05
